sno,items,ingredients,protein,fat,carbs,fibre,cal
,,,,,,,
,,,,,,,
48,junnu,milk,7,24,43,2,176
,,brown sugar,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
49,besan laddu,besan,6.3,46,53,3.1,213
,,jaggery,,,,,
,,ghee,,,,,
,,dryfruits,,,,,
,,,,,,,
50,arisalu,riceflour,3.9,63,54,4,199
,,jaggery,,,,,
,,ghee,,,,,
,,,,,,,
,,,,,,,
51,chikki,peanuts,8.5,,34,8,134
,,jaggery,,29,,,
,,,,,,,
,,,,,,,
,,,,,,,
52,gavvalu,riceflour,4.3,23,45,4.8,231
,,jaggery,,,,,
,,cardamom,,,,,
,,,,,,,
,,,,,,,
53,pootharekulu,riceflour,1.3,19,34,4.1,154
,,sugar,,,,,
,,ghee,,,,,
,,,,,,,
,,,,,,,
54,jalebi,flour,1,59,19,3.4,240
,,brown sugar,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
55,kaju katli,cashew nuts,8,78,56,1.9,250
,,ghee,,,,,
,,milk,,,,,
